website_session_id,created_at,user_id,is_repeat_session,utm_source,utm_campaign,utm_content,device_type,http_referer
1,2012-03-19 08:04:16,1,0,gsearch,nonbrand,g_ad_1,mobile,https://www.gsearch.com
2,2012-03-19 08:16:49,2,0,gsearch,nonbrand,g_ad_1,desktop,https://www.gsearch.com
3,2012-03-19 08:26:55,3,0,gsearch,nonbrand,g_ad_1,desktop,https://www.gsearch.com
4,2012-03-19 08:37:33,4,0,gsearch,nonbrand,g_ad_1,desktop,https://www.gsearch.com
5,2012-03-19 09:00:55,5,0,gsearch,nonbrand,g_ad_1,mobile,https://www.gsearch.com
6,2012-03-19 09:05:46,6,0,gsearch,nonbrand,g_ad_1,desktop,https://www.gsearch.com
7,2012-03-19 09:06:27,7,0,gsearch,nonbrand,g_ad_1,mobile,https://www.gsearch.com
8,2012-03-19 09:17:17,8,0,gsearch,nonbrand,g_ad_1,mobile,https://www.gsearch.com
9,2012-03-19 09:27:56,9,0,gsearch,nonbrand,g_ad_1,mobile,https://www.gsearch.com
10,2012-03-19 09:35:37,10,0,gsearch,nonbrand,g_ad_1,mobile,https://www.gsearch.com
11,2012-03-19 09:37:42,11,0,gsearch,nonbrand,g_ad_1,mobile,https://www.gsearch.com
12,2012-03-19 09:39:57,12,0,gsearch,nonbrand,g_ad_1,mobile,https://www.gsearch.com
13,2012-03-19 09:45:29,13,0,gsearch,nonbrand,g_ad_1,desktop,https://www.gsearch.com
14,2012-03-19 09:45:47,14,0,gsearch,nonbrand,g_ad_1,mobile,https://www.gsearch.com
15,2012-03-19 09:57:14,15,0,gsearch,nonbrand,g_ad_1,desktop,https://www.gsearch.com
16,2012-03-19 10:01:35,16,0,gsearch,nonbrand,g_ad_1,mobile,https://www.gsearch.com
17,2012-03-19 10:14:34,17,0,gsearch,nonbrand,g_ad_1,desktop,https://www.gsearch.com
18,2012-03-19 10:16:57,18,0,gsearch,nonbrand,g_ad_1,desktop,https://www.gsearch.com
19,2012-03-19 10:17:38,19,0,gsearch,nonbrand,g_ad_1,mobile,https://www.gsearch.com
20,2012-03-19 10:22:58,20,0,gsearch,nonbrand,g_ad_1,desktop,https://www.gsearch.com
21,2012-03-19 10:51:38,21,0,gsearch,nonbrand,g_ad_1,desktop,https://www.gsearch.com
22,2012-03-19 10:54:55,22,0,gsearch,nonbrand,g_ad_1,desktop,https://www.gsearch.com
23,2012-03-19 10:59:03,23,0,gsearch,nonbrand,g_ad_1,mobile,https://www.gsearch.com
24,2012-03-19 11:08:58,24,0,gsearch,nonbrand,g_ad_1,desktop,https://www.gsearch.com
25,2012-03-19 11:16:42,25,0,gsearch,nonbrand,g_ad_1,desktop,https://www.gsearch.com
26,2012-03-19 11:20:14,26,0,gsearch,nonbrand,g_ad_1,desktop,https://www.gsearch.com
27,2012-03-19 11:22:58,27,0,gsearch,nonbrand,g_ad_1,desktop,https://www.gsearch.com
28,2012-03-19 11:24:59,28,0,gsearch,nonbrand,g_ad_1,mobile,https://www.gsearch.com
29,2012-03-19 11:33:47,29,0,gsearch,nonbrand,g_ad_1,mobile,https://www.gsearch.com
30,2012-03-19 11:43:21,30,0,gsearch,nonbrand,g_ad_1,desktop,https://www.gsearch.com
31,2012-03-19 11:46:37,31,0,gsearch,nonbrand,g_ad_1,desktop,https://www.gsearch.com
32,2012-03-19 11:53:24,32,0,gsearch,nonbrand,g_ad_1,mobile,https://www.gsearch.com
33,2012-03-19 11:58:52,33,0,gsearch,nonbrand,g_ad_1,desktop,https://www.gsearch.com
34,2012-03-19 12:01:28,34,0,gsearch,nonbrand,g_ad_1,desktop,https://www.gsearch.com
35,2012-03-19 12:02:18,35,0,gsearch,nonbrand,g_ad_1,desktop,https://www.gsearch.com
36,2012-03-19 12:07:36,36,0,gsearch,nonbrand,g_ad_1,desktop,https://www.gsearch.com
37,2012-03-19 12:09:24,37,0,gsearch,nonbrand,g_ad_1,desktop,https://www.gsearch.com
38,2012-03-19 12:23:11,38,0,gsearch,nonbrand,g_ad_1,desktop,https://www.gsearch.com
39,2012-03-19 12:35:54,39,0,gsearch,nonbrand,g_ad_1,desktop,https://www.gsearch.com
40,2012-03-19 12:45:10,40,0,gsearch,nonbrand,g_ad_1,desktop,https://www.gsearch.com
41,2012-03-19 12:55:38,41,0,gsearch,nonbrand,g_ad_1,desktop,https://www.gsearch.com
42,2012-03-19 12:55:57,42,0,gsearch,nonbrand,g_ad_1,desktop,https://www.gsearch.com
43,2012-03-19 12:57:35,43,0,gsearch,nonbrand,g_ad_1,mobile,https://www.gsearch.com
44,2012-03-19 13:10:20,44,0,gsearch,nonbrand,g_ad_1,desktop,https://www.gsearch.com
45,2012-03-19 13:11:43,45,0,gsearch,nonbrand,g_ad_1,desktop,https://www.gsearch.com
46,2012-03-19 13:14:49,46,0,gsearch,nonbrand,g_ad_1,mobile,https://www.gsearch.com
47,2012-03-19 13:19:35,47,0,gsearch,nonbrand,g_ad_1,desktop,https://www.gsearch.com
48,2012-03-19 13:25:51,48,0,gsearch,nonbrand,g_ad_1,desktop,https://www.gsearch.com
49,2012-03-19 13:29:52,49,0,gsearch,nonbrand,g_ad_1,desktop,https://www.gsearch.com
50,2012-03-19 13:30:31,50,0,gsearch,nonbrand,g_ad_1,desktop,https://www.gsearch.com
51,2012-03-19 13:37:56,51,0,gsearch,nonbrand,g_ad_1,mobile,https://www.gsearch.com
52,2012-03-19 13:39:26,52,0,gsearch,nonbrand,g_ad_1,desktop,https://www.gsearch.com
53,2012-03-19 14:01:42,53,0,gsearch,nonbrand,g_ad_1,desktop,https://www.gsearch.com
54,2012-03-19 14:12:09,54,0,gsearch,nonbrand,g_ad_1,desktop,https://www.gsearch.com
55,2012-03-19 14:15:08,55,0,gsearch,nonbrand,g_ad_1,desktop,https://www.gsearch.com
56,2012-03-19 14:20:38,56,0,gsearch,nonbrand,g_ad_1,desktop,https://www.gsearch.com
57,2012-03-19 14:23:51,57,0,gsearch,nonbrand,g_ad_1,mobile,https://www.gsearch.com
58,2012-03-19 14:42:54,58,0,gsearch,nonbrand,g_ad_1,mobile,https://www.gsearch.com
59,2012-03-19 14:51:15,59,0,gsearch,nonbrand,g_ad_1,desktop,https://www.gsearch.com
60,2012-03-19 14:58:46,60,0,gsearch,nonbrand,g_ad_1,mobile,https://www.gsearch.com
61,2012-03-19 15:01:00,61,0,gsearch,nonbrand,g_ad_1,mobile,https://www.gsearch.com
62,2012-03-19 15:03:11,62,0,gsearch,nonbrand,g_ad_1,mobile,https://www.gsearch.com
63,2012-03-19 15:03:57,63,0,gsearch,nonbrand,g_ad_1,desktop,https://www.gsearch.com
64,2012-03-19 15:05:50,64,0,gsearch,nonbrand,g_ad_1,desktop,https://www.gsearch.com
65,2012-03-19 15:13:54,65,0,gsearch,nonbrand,g_ad_1,desktop,https://www.gsearch.com
66,2012-03-19 15:20:18,66,0,gsearch,nonbrand,g_ad_1,desktop,https://www.gsearch.com
67,2012-03-19 15:29:46,67,0,gsearch,nonbrand,g_ad_1,mobile,https://www.gsearch.com
68,2012-03-19 15:33:50,68,0,gsearch,nonbrand,g_ad_1,desktop,https://www.gsearch.com
69,2012-03-19 15:56:47,69,0,gsearch,nonbrand,g_ad_1,desktop,https://www.gsearch.com
70,2012-03-19 16:03:21,70,0,gsearch,nonbrand,g_ad_1,desktop,https://www.gsearch.com
71,2012-03-19 16:03:55,71,0,gsearch,nonbrand,g_ad_1,desktop,https://www.gsearch.com
72,2012-03-19 16:20:19,72,0,gsearch,nonbrand,g_ad_1,desktop,https://www.gsearch.com
73,2012-03-19 16:32:16,73,0,gsearch,nonbrand,g_ad_1,mobile,https://www.gsearch.com
74,2012-03-19 16:38:30,74,0,gsearch,nonbrand,g_ad_1,mobile,https://www.gsearch.com
75,2012-03-19 16:39:59,75,0,gsearch,nonbrand,g_ad_1,desktop,https://www.gsearch.com
76,2012-03-19 16:47:52,76,0,gsearch,nonbrand,g_ad_1,desktop,https://www.gsearch.com
77,2012-03-19 16:55:37,77,0,gsearch,nonbrand,g_ad_1,desktop,https://www.gsearch.com
78,2012-03-19 16:56:43,78,0,gsearch,nonbrand,g_ad_1,mobile,https://www.gsearch.com
79,2012-03-19 16:59:12,79,0,gsearch,nonbrand,g_ad_1,mobile,https://www.gsearch.com
80,2012-03-19 17:02:42,80,0,gsearch,nonbrand,g_ad_1,desktop,https://www.gsearch.com
81,2012-03-19 17:05:02,81,0,gsearch,nonbrand,g_ad_1,desktop,https://www.gsearch.com
82,2012-03-19 17:06:31,82,0,gsearch,nonbrand,g_ad_1,desktop,https://www.gsearch.com
83,2012-03-19 17:08:45,83,0,gsearch,nonbrand,g_ad_1,mobile,https://www.gsearch.com
84,2012-03-19 17:20:04,84,0,gsearch,nonbrand,g_ad_1,mobile,https://www.gsearch.com
85,2012-03-19 17:23:41,85,0,gsearch,nonbrand,g_ad_1,mobile,https://www.gsearch.com
86,2012-03-19 17:39:03,86,0,gsearch,nonbrand,g_ad_1,desktop,https://www.gsearch.com
87,2012-03-19 17:43:37,87,0,gsearch,nonbrand,g_ad_1,desktop,https://www.gsearch.com
88,2012-03-19 17:49:08,88,0,gsearch,nonbrand,g_ad_1,desktop,https://www.gsearch.com
89,2012-03-19 17:56:53,89,0,gsearch,nonbrand,g_ad_1,desktop,https://www.gsearch.com
90,2012-03-19 17:58:38,90,0,gsearch,nonbrand,g_ad_1,desktop,https://www.gsearch.com
91,2012-03-19 18:06:16,91,0,gsearch,nonbrand,g_ad_1,desktop,https://www.gsearch.com
92,2012-03-19 18:07:02,92,0,gsearch,nonbrand,g_ad_1,mobile,https://www.gsearch.com
93,2012-03-19 18:08:27,93,0,gsearch,nonbrand,g_ad_1,mobile,https://www.gsearch.com
94,2012-03-19 18:09:58,94,0,gsearch,nonbrand,g_ad_1,desktop,https://www.gsearch.com
95,2012-03-19 18:11:39,95,0,gsearch,nonbrand,g_ad_1,mobile,https://www.gsearch.com
96,2012-03-19 18:20:34,96,0,gsearch,nonbrand,g_ad_1,mobile,https://www.gsearch.com
97,2012-03-19 18:29:05,97,0,gsearch,nonbrand,g_ad_1,mobile,https://www.gsearch.com
98,2012-03-19 18:31:53,98,0,gsearch,nonbrand,g_ad_1,mobile,https://www.gsearch.com
99,2012-03-19 18:40:42,99,0,gsearch,nonbrand,g_ad_1,desktop,https://www.gsearch.com
100,2012-03-19 18:53:45,100,0,gsearch,nonbrand,g_ad_1,desktop,https://www.gsearch.com
